Array Type,Array Size,Bubble,Selection,Insertion,Heap
Random,1,0,0,0,0
Random,2,0,0,0,0
Random,3,0,0,0,0
Random,4,0,0,0,0
Random,5,0,0,0,0
Random,6,0,0,0,0
Random,7,0,0,0,0
Random,8,0,0,0,0
Random,9,0,0,0,1.00E-06
Random,10,1.00E-06,0,0,1.00E-06
Random,11,1.00E-06,1.00E-06,0,1.00E-06
Random,12,1.00E-06,1.00E-06,0,1.00E-06
Random,13,1.00E-06,1.00E-06,0,1.00E-06
Random,14,1.00E-06,1.00E-06,0,1.00E-06
Random,15,1.00E-06,1.00E-06,0,2.00E-06
Random,16,2.00E-06,1.00E-06,0,2.00E-06
Random,17,2.00E-06,1.00E-06,0,2.00E-06
Random,18,3.00E-06,2.00E-06,1.00E-06,2.00E-06
Random,19,2.00E-06,2.00E-06,1.00E-06,2.00E-06
Random,20,3.00E-06,2.00E-06,1.00E-06,3.00E-06
Random,21,3.00E-06,2.00E-06,1.00E-06,3.00E-06
Random,22,4.00E-06,2.00E-06,1.00E-06,3.00E-06
Random,23,4.00E-06,3.00E-06,1.00E-06,3.00E-06
Random,24,4.00E-06,3.00E-06,1.00E-06,4.00E-06
Random,25,4.00E-06,3.00E-06,1.00E-06,3.00E-06
Random,26,5.00E-06,3.00E-06,1.00E-06,4.00E-06
Random,27,6.00E-06,4.00E-06,2.00E-06,4.00E-06
Random,28,6.00E-06,3.00E-06,1.00E-06,4.00E-06
Random,29,6.00E-06,4.00E-06,1.00E-06,4.00E-06
Random,30,7.00E-06,4.00E-06,1.00E-06,4.00E-06
Sorted,1,0,0,0,0
Sorted,2,0,0,0,0
Sorted,3,0,0,0,0
Sorted,4,0,0,0,0
Sorted,5,0,0,0,0
Sorted,6,0,0,0,0
Sorted,7,0,0,0,0
Sorted,8,0,0,0,0
Sorted,9,0,0,0,1.00E-06
Sorted,10,0,0,0,1.00E-06
Sorted,11,0,0,0,1.00E-06
Sorted,12,0,0,0,1.00E-06
Sorted,13,0,0,0,1.00E-06
Sorted,14,0,0,0,1.00E-06
Sorted,15,0,0,0,1.00E-06
Sorted,16,0,0,0,1.00E-06
Sorted,17,0,0,0,1.00E-06
Sorted,18,0,0,0,1.00E-06
Sorted,19,0,0,0,1.00E-06
Sorted,20,0,0,0,1.00E-06
Sorted,21,1.00E-06,1.00E-06,0,1.00E-06
Sorted,22,1.00E-06,1.00E-06,0,2.00E-06
Sorted,23,1.00E-06,1.00E-06,0,2.00E-06
Sorted,24,1.00E-06,1.00E-06,0,2.00E-06
Sorted,25,1.00E-06,1.00E-06,0,2.00E-06
Sorted,26,1.00E-06,1.00E-06,0,2.00E-06
Sorted,27,1.00E-06,1.00E-06,0,2.00E-06
Sorted,28,1.00E-06,1.00E-06,0,2.00E-06
Sorted,29,1.00E-06,1.00E-06,0,2.00E-06
Sorted,30,1.00E-06,1.00E-06,0,2.00E-06
Inversely Sorted,1,0,0,0,0
Inversely Sorted,2,0,0,0,0
Inversely Sorted,3,0,0,0,0
Inversely Sorted,4,0,0,0,0
Inversely Sorted,5,0,0,0,0
Inversely Sorted,6,0,0,0,0
Inversely Sorted,7,0,0,0,0
Inversely Sorted,8,0,0,0,0
Inversely Sorted,9,0,0,0,0
Inversely Sorted,10,0,0,0,0
Inversely Sorted,11,0,0,0,0
Inversely Sorted,12,0,0,0,0
Inversely Sorted,13,0,0,0,1.00E-06
Inversely Sorted,14,0,0,0,1.00E-06
Inversely Sorted,15,1.00E-06,1.00E-06,0,1.00E-06
Inversely Sorted,16,1.00E-06,1.00E-06,0,1.00E-06
Inversely Sorted,17,1.00E-06,1.00E-06,0,1.00E-06
Inversely Sorted,18,1.00E-06,1.00E-06,0,1.00E-06
Inversely Sorted,19,1.00E-06,1.00E-06,1.00E-06,1.00E-06
Inversely Sorted,20,1.00E-06,1.00E-06,1.00E-06,1.00E-06
Inversely Sorted,21,1.00E-06,1.00E-06,1.00E-06,1.00E-06
Inversely Sorted,22,2.00E-06,1.00E-06,1.00E-06,1.00E-06
Inversely Sorted,23,2.00E-06,2.00E-06,1.00E-06,2.00E-06
Inversely Sorted,24,2.00E-06,1.00E-06,1.00E-06,2.00E-06
Inversely Sorted,25,2.00E-06,2.00E-06,1.00E-06,2.00E-06
Inversely Sorted,26,3.00E-06,2.00E-06,1.00E-06,2.00E-06
Inversely Sorted,27,3.00E-06,2.00E-06,1.00E-06,2.00E-06
Inversely Sorted,28,3.00E-06,2.00E-06,2.00E-06,2.00E-06
Inversely Sorted,29,4.00E-06,2.00E-06,2.00E-06,2.00E-06
Inversely Sorted,30,4.00E-06,2.00E-06,2.00E-06,2.00E-06
